K,C
6.42076e-14,2.86238e+30
6.44543e-14,2.83507e+30
6.4702e-14,2.80801e+30
6.49506e-14,2.78122e+30
6.52001e-14,2.75468e+30
6.54507e-14,2.7284e+30
6.57021e-14,2.70237e+30
6.59546e-14,2.67658e+30
6.6208e-14,2.65104e+30
6.64624e-14,2.62575e+30
6.67178e-14,2.60069e+30
6.69741e-14,2.57588e+30
6.72315e-14,2.5513e+30
6.74898e-14,2.52696e+30
6.77491e-14,2.50285e+30
6.80094e-14,2.47897e+30
6.82707e-14,2.45531e+30
6.8533e-14,2.43189e+30
6.87964e-14,2.40868e+30
6.90607e-14,2.3857e+30
6.93261e-14,2.36294e+30
6.95924e-14,2.34039e+30
6.98598e-14,2.31806e+30
7.01283e-14,2.29594e+30
7.03977e-14,2.27403e+30
7.06682e-14,2.25234e+30
7.09397e-14,2.23085e+30
7.12123e-14,2.20956e+30
7.14859e-14,2.18848e+30
7.17606e-14,2.1676e+30
7.20363e-14,2.14691e+30
7.23131e-14,2.12643e+30
7.2591e-14,2.10614e+30
7.28699e-14,2.08604e+30
7.31499e-14,2.06614e+30
7.34309e-14,2.04642e+30
7.37131e-14,2.0269e+30
7.39963e-14,2.00756e+30
7.42806e-14,1.9884e+30
7.4566e-14,1.96943e+30
7.48525e-14,1.95064e+30
7.51401e-14,1.93203e+30
7.54288e-14,1.91359e+30
7.57187e-14,1.89533e+30
7.60096e-14,1.87725e+30
7.63017e-14,1.85934e+30
7.65948e-14,1.8416e+30
7.68891e-14,1.82403e+30
7.71846e-14,1.80662e+30
7.74811e-14,1.78938e+30
7.77788e-14,1.77231e+30
7.80777e-14,1.7554e+30
7.83777e-14,1.73865e+30
7.86788e-14,1.72206e+30
7.89812e-14,1.70563e+30
7.92846e-14,1.68935e+30
7.95893e-14,1.67324e+30
7.98951e-14,1.65727e+30
8.0202e-14,1.64146e+30
8.05102e-14,1.6258e+30
8.08196e-14,1.61028e+30
8.11301e-14,1.59492e+30
8.14418e-14,1.5797e+30
8.17547e-14,1.56463e+30
8.20689e-14,1.5497e+30
8.23842e-14,1.53491e+30
8.27008e-14,1.52027e+30
8.30185e-14,1.50576e+30
8.33375e-14,1.49139e+30
8.36577e-14,1.47716e+30
8.39791e-14,1.46307e+30
8.43018e-14,1.44911e+30
8.46257e-14,1.43528e+30
8.49509e-14,1.42159e+30
8.52773e-14,1.40802e+30
8.5605e-14,1.39459e+30
8.59339e-14,1.38128e+30
8.62641e-14,1.3681e+30
8.65955e-14,1.35505e+30
8.69282e-14,1.34212e+30
8.72623e-14,1.32931e+30
8.75975e-14,1.31663e+30
8.79341e-14,1.30407e+30
8.8272e-14,1.29162e+30
8.86112e-14,1.2793e+30
8.89516e-14,1.26709e+30
8.92934e-14,1.255e+30
8.96365e-14,1.24303e+30
8.99809e-14,1.23117e+30
9.03267e-14,1.21942e+30
9.06737e-14,1.20779e+30
9.10221e-14,1.19626e+30
9.13718e-14,1.18485e+30
9.17229e-14,1.17354e+30
9.20754e-14,1.16234e+30
9.24291e-14,1.15125e+30
9.27843e-14,1.14027e+30
9.31408e-14,1.12939e+30
9.34987e-14,1.11861e+30
9.38579e-14,1.10794e+30
9.42185e-14,1.09737e+30
9.45806e-14,1.0869e+30
9.4944e-14,1.07653e+30
9.53088e-14,1.06625e+30
9.5675e-14,1.05608e+30
9.60426e-14,1.046e+30
9.64116e-14,1.03602e+30
9.67821e-14,1.02614e+30
9.71539e-14,1.01635e+30
9.75272e-14,1.00665e+30
9.7902e-14,9.97045e+29
9.82781e-14,9.87532e+29
9.86557e-14,9.78109e+29
9.90348e-14,9.68776e+29
9.94153e-14,9.59533e+29
9.97973e-14,9.50377e+29
1.00181e-13,9.41309e+29
1.00566e-13,9.32328e+29
1.00952e-13,9.23432e+29
1.0134e-13,9.14621e+29
1.01729e-13,9.05894e+29
1.0212e-13,8.9725e+29
1.02513e-13,8.88689e+29
1.02907e-13,8.8021e+29
1.03302e-13,8.71811e+29
1.03699e-13,8.63493e+29
1.04097e-13,8.55253e+29
1.04497e-13,8.47093e+29
1.04899e-13,8.3901e+29
1.05302e-13,8.31005e+29
1.05706e-13,8.23076e+29
1.06113e-13,8.15222e+29
1.0652e-13,8.07444e+29
1.0693e-13,7.9974e+29
1.0734e-13,7.92109e+29
1.07753e-13,7.84551e+29
1.08167e-13,7.77065e+29
1.08583e-13,7.69651e+29
1.09e-13,7.62307e+29
1.09419e-13,7.55033e+29
1.09839e-13,7.47829e+29
1.10261e-13,7.40694e+29
1.10685e-13,7.33626e+29
1.1111e-13,7.26626e+29
1.11537e-13,7.19693e+29
1.11965e-13,7.12826e+29
1.12396e-13,7.06025e+29
1.12827e-13,6.99288e+29
1.13261e-13,6.92616e+29
1.13696e-13,6.86007e+29
1.14133e-13,6.79462e+29
1.14572e-13,6.72979e+29
1.15012e-13,6.66557e+29
1.15454e-13,6.60197e+29
1.15897e-13,6.53898e+29
1.16343e-13,6.47659e+29
1.1679e-13,6.41479e+29
1.17238e-13,6.35358e+29
1.17689e-13,6.29296e+29
1.18141e-13,6.23292e+29
1.18595e-13,6.17344e+29
1.19051e-13,6.11454e+29
1.19508e-13,6.0562e+29
1.19967e-13,5.99841e+29
1.20428e-13,5.94118e+29
1.20891e-13,5.88449e+29
1.21355e-13,5.82834e+29
1.21822e-13,5.77273e+29
